Trained On,Error 450,Error 451,Error 452,Error 453,Error 454,Error 455,Error 456,Error 457,Error 458,Error 459,Error 460,Error 461,Error 462,Error 463,Error 464,Error 465,Error 466,Error 467,Error 468,Error 469,Error 470,Error 471,Error 472,Average
0,54691.85448,9638.354321,36100.81724,57774.22798,13894.34236,45476.00907,69243.07597,71884.90923,8062.096048,33036.04169,11826.41662,12610.8483,8910.955069,11720.86688,59328.82288,34324.44343,28657.13354,15331.03781,43926.37384,11582.36748,15878.1597,38230.99748,8598.587688,30466.46692
1,1488.09182,81645.62637,1346.518571,1532.648119,112708.5717,968.2314126,1948.371005,2418.726779,18193.92979,1974.743233,88946.75388,2962.576722,14486.78127,6258.527471,1258.916724,1678.658325,2066.899354,5906.490286,1115.853016,27092.8745,9915.102379,1022.651009,42179.9036,18657.28032
2,7944.993028,83617.34591,1740.007295,6222.473455,114292.2841,2696.458072,12491.33285,13372.44863,21766.59341,2711.985653,90701.03422,7510.538587,18112.87617,10906.76325,6985.172074,2323.309766,3217.269046,9663.479726,2111.28673,29370.10591,12536.00283,1714.623847,44493.52812,22021.82229
3,40948.13954,8266.299678,4258.139601,8115.196955,12587.52795,12077.22841,19456.98018,16497.54169,5824.765335,13726.56713,11900.11442,3762.127918,5838.990206,3839.135518,8810.351245,3731.472228,4409.269358,3837.121081,5060.399322,4308.909347,2834.581745,20787.60639,6676.831829,9893.708569
4,61476.38822,58384.6448,25644.06681,43508.4125,77798.8381,38377.42364,57869.55246,58142.33976,16542.86688,28611.34052,60975.21142,4816.046581,13862.52192,6490.379823,45065.87484,23428.72436,19760.07553,8195.874795,32037.29529,24539.1993,14481.36966,40197.48938,33576.73425,34512.29004
5,1849.538608,118487.6302,2503.89764,1902.726662,153227.8595,1639.985615,2999.764352,3448.422224,41657.05882,3052.39951,127280.1519,15844.47445,35381.85971,23365.30121,2019.758078,2723.675929,5145.426666,19830.73459,2350.203822,49361.02791,24404.38503,1256.032602,70693.17307,30888.0647
6,57974.59771,5912.759386,10221.75101,14454.28374,9122.851998,19426.42895,25763.03241,22908.85102,4988.879108,25511.10768,6110.793928,6011.021733,5638.804434,3650.770197,15087.71048,9306.030185,9671.327714,4948.17469,11388.37433,4640.165,4513.206744,32535.12344,5295.208194,13699.18496
7,1685.022015,97953.11254,2930.937024,2458.511449,128941.7523,2638.083748,989.0387325,881.4251928,30898.49891,3327.042703,105018.5998,10507.4616,26192.72362,16484.24794,2153.802369,3072.384204,4631.05962,13890.57701,2958.344735,38169.07641,17875.18252,2560.388693,56150.97433,24885.57598
8,32959.71909,113828.1827,7679.804836,28126.81189,141944.0275,17957.99929,43029.42027,44865.02375,51520.38056,10048.60093,120889.9984,28686.20281,45314.05485,35055.15674,30003.16886,9724.220694,11788.79311,31024.97543,12806.05691,54571.3705,32741.53214,14051.8341,73456.78056,43133.65721
9,7227.292784,199246.1687,44276.59775,15734.0107,234761.2019,25404.46492,2043.180841,1715.064417,117594.7689,46540.59477,208374.4044,86836.84553,109791.4766,96352.40442,13952.47811,48135.41856,55582.67262,91053.65177,33356.33771,123082.4401,93769.92079,28254.5051,147327.5651,79583.1942
10,5872.639293,162244.6453,25607.8166,11403.84536,197329.6279,16147.57102,3643.3769,4295.360044,82918.12702,26693.40075,171197.5321,54508.84231,75632.268,62914.95232,10089.40696,27831.61148,32762.12077,58582.80971,19975.36759,89514.7008,62259.33304,17563.24517,112214.6043,57878.40021
11,2776.910938,99978.67635,2395.415512,1977.867361,134578.3971,1620.996837,2503.060262,2743.887588,27232.01529,4069.587034,108802.4448,7024.426058,21862.70261,11046.36662,1980.270602,2534.923506,3829.67018,9651.291097,1875.638033,36412.6531,14653.7984,2169.591838,55096.66103,24209.44575
12,52172.22321,88451.73543,136164.548,145102.7025,75953.06825,122934.1785,126886.1436,135441.139,113113.062,116645.1299,82142.57983,123003.7386,120081.1494,126822.6206,144004.7702,136553.406,131066.4501,127848.6945,139963.516,115139.0464,126001.3641,83426.83377,105434.692,116276.2083
13,3011.793956,91695.42954,2353.871326,3165.838953,126839.7531,1352.464098,4690.596718,5090.218402,20205.7107,3240.348944,100707.095,3873.719864,16483.98695,6419.658719,3148.303865,2479.164195,3376.00007,6315.974158,2083.722187,30808.25142,10419.63429,1678.676999,47793.69135,21618.86543
14,7239.050574,119774.2071,2721.541044,2024.930395,156964.7364,3730.474524,1749.102392,1544.390236,37199.14085,4631.739545,129615.5166,9616.339565,30219.70756,16495.03622,1927.714522,2773.487747,4465.808774,13891.04461,2405.949565,47205.59843,20660.58985,6874.529964,69635.77365,30146.36566
15,10644.16364,73618.15459,2656.714335,6017.655945,109489.115,2422.436097,10380.90884,10490.71195,11017.38201,4547.480607,83027.08972,4690.058034,9951.994644,4660.698536,6210.371046,2961.133356,3921.403212,5193.876499,2705.334719,20128.21987,5048.620717,2570.72775,33210.36399,18502.80935
16,41049.27531,72169.99958,16542.46596,31783.01315,94594.81073,26545.0343,41688.85817,42164.1157,22167.84673,15735.92922,75260.89616,6658.366192,19551.39105,11835.23097,32737.42311,14600.58517,12544.98017,10538.50637,22148.67601,28234.71995,15487.83549,27463.47021,41060.51268,31415.82358
17,5979.624709,78296.04712,6582.38045,8038.134965,115993.9996,6362.771485,7914.050095,8363.379554,11644.15619,6796.254904,88537.51721,5815.067024,11250.12102,6056.049439,7713.523089,6380.515323,6842.767955,6768.663358,6601.25282,23054.33943,7140.832001,6566.397955,36046.19499,20641.04525
18,80298.8603,7780.034519,10056.78197,10308.83491,13025.70811,21522.08254,23382.93444,18137.50823,7828.821216,26876.60772,8298.930492,9127.981957,8445.440559,5051.963456,10548.43859,9035.773834,10907.41293,6456.629255,9588.752667,6032.781834,5254.63497,46920.59741,7635.548685,15761.8722
19,18446.53466,85020.5306,2671.105714,1811.119634,124038.6967,4432.567691,3209.386708,2615.535954,13718.26561,5229.136439,95486.04382,4115.161567,12096.17925,5053.003445,1829.506923,2712.050646,3841.823744,5436.111427,2080.419357,24896.75475,6495.713471,12281.07222,40113.95926,20766.55129
20,28048.61115,169969.8101,42626.95513,37047.13448,207250.5174,38392.211,29613.64094,29357.58467,86593.02678,40978.69501,179800.1689,57645.80275,79144.07911,65503.29155,35690.78477,42886.16447,45695.65745,62059.46148,40683.74461,95379.59668,67785.79565,37994.06821,118380.7283,71240.32741
21,33284.34893,132804.0563,7387.620969,22745.75801,160801.5578,12826.26829,40405.64191,41961.29146,68134.0936,14790.79919,139913.3715,42208.67164,61474.68441,50345.003,24888.59536,12830.28889,16950.1935,45595.14146,7444.536834,71113.83953,47387.96986,10520.5092,91148.44373,50302.72545
22,39684.64148,10267.27926,29244.61455,43082.34498,16541.86066,31319.44,44351.66483,47614.12613,8493.59059,37440.59309,13820.32247,14697.10095,11466.2137,14913.56641,43237.76362,28514.54637,23919.28332,17744.04548,34097.73714,13323.92054,17135.28375,25204.75765,10383.43133,25065.13601
23,79640.89982,19754.27577,29387.13984,35010.32645,18557.70177,33427.25977,39403.61728,39220.50684,22230.27381,58821.72631,19599.74953,24904.16504,22219.6983,23307.23413,34949.15357,28902.34855,27676.12431,25089.86782,30998.03605,22425.1941,24670.21971,41684.20702,20725.0801,31417.60026
24,2433.007098,155770.6089,3400.928068,1674.163829,191770.1074,1598.603242,2985.322557,3189.76873,71503.56058,5622.302085,165111.7445,38114.75234,63397.86945,48843.30437,2098.01565,5241.170653,11073.73673,42653.51992,2331.055639,76556.81106,45355.02526,1620.07038,102271.4648,45418.12666
25,160849.3215,116944.7685,140297.7634,145194.2685,109696.7879,144238.6559,149035.005,148798.9002,129476.6205,164700.5929,115554.1279,134127.7596,130097.1565,131700.9911,145115.5693,139775.1962,138611.9671,133554.2289,141848.2986,128339.5851,132933.5238,146148.3364,124729.3741,137033.426
27,13700.61999,142363.0012,16253.47476,5328.14836,178530.3693,4619.800839,18028.08449,19034.08558,65482.0275,20545.83151,151831.1012,43113.48654,58869.64282,48077.11372,7923.863797,18824.64623,23812.691,45240.39047,10482.17503,73244.15783,48355.91864,4301.824189,93540.7984,48326.22841
28,1919.971374,174626.1782,11945.12575,1716.976802,210391.7005,1451.062231,1378.570504,1262.912521,91421.94267,17833.84003,183865.3999,59000.58726,83269.03037,69256.10098,1797.125019,17087.1975,24945.19503,63339.8766,5034.034869,96285.79919,65644.55665,1521.464802,121538.7426,56805.79962
29,5728.365395,123620.8672,2395.03088,3063.729143,160286.0134,1582.26027,7524.55348,7988.892848,39371.31044,3736.146206,133269.327,7881.857814,31823.68593,16419.647,3615.792217,2625.864382,3927.210894,13770.27665,2138.03799,49507.44365,21797.39061,1370.01028,73112.43765,31154.61527
30,5374.513311,90931.1101,2345.415632,1903.849617,130940.8402,1434.828351,3092.844951,2757.094901,15234.65018,4948.504292,102281.354,3951.3209,13380.75819,4844.201584,2007.498269,2591.434341,3551.900415,5447.140648,2058.206982,28095.85128,7477.167183,1914.771028,44340.92481,20908.9644
31,2566.006424,166637.4727,6338.2544,2109.002672,202392.62,1710.528953,2307.849017,2185.384399,83319.75667,10989.41846,175869.0646,50759.56308,75106.88143,61095.8786,2196.723498,10921.60627,17767.41421,55007.48208,2386.963059,87896.25441,56926.26582,1604.633589,113320.5783,51800.67838
32,21038.62868,16856.19407,8384.233915,18848.57261,22573.27547,12652.28788,23841.51456,24849.10916,4995.033571,9312.779525,11040.40377,4001.317659,7521.782854,4117.591534,19123.95854,8033.449814,6827.806729,5398.430066,11721.94309,6015.326427,4401.561164,13841.00068,8222.143678,11896.4498
33,27170.95916,89498.56042,4539.925451,16583.05358,118571.1611,11346.83252,29959.08124,30822.19233,32489.64063,8307.932075,95368.71118,19378.17203,29790.24307,24608.25728,18100.13616,6931.74204,8456.499912,21946.62154,6054.088716,36083.43805,22419.6163,12482.25096,51629.35962,31414.71632
34,46454.51613,162628.9561,72708.68724,50223.17497,179912.9281,60386.88777,36216.972,33907.20832,123352.1232,75492.31641,169724.9815,103288.2712,117710.2569,108752.0078,47854.02709,75250.97437,81461.71104,104783.5614,64183.0221,123985.9634,105928.7396,64431.5448,137886.5518,93327.19058
35,29166.4501,121191.5517,3793.855117,19616.08311,156934.9864,11726.50409,37627.23908,39202.38977,39213.77243,6302.45605,130409.9269,8592.464106,32085.42731,17353.09903,22119.39063,4838.867147,4946.326761,14451.27727,7228.346136,48694.78974,21965.42665,9919.296099,71863.21399,37358.39737
36,12782.38606,156320.4133,23020.43888,5676.576569,185278.5806,7639.937646,21920.20018,23648.53201,88825.86824,27325.48105,163264.9704,61816.48147,82043.29616,70310.1745,9757.246203,26498.77813,33494.4537,65393.88559,14936.31433,92583.25002,67467.40677,9113.755838,113246.6023,59233.26217
37,60210.54149,19572.56398,27307.53353,52301.89222,25989.6104,41417.68283,70399.14031,72292.84011,6473.434336,25972.05678,13456.35344,5637.919066,7511.47281,4938.161201,54605.07447,25226.66901,20601.39812,7816.13786,35957.27258,9403.986751,9689.567951,37429.48905,10567.39334,28033.83442
38,34072.8205,123742.0765,7757.192733,22760.94662,148591.8064,12342.01466,42051.3673,43558.39226,67622.04967,15892.40233,128499.0043,44526.44338,61510.56118,52232.21593,25132.91199,13556.90807,18267.09118,47365.16877,7349.432785,66600.17985,47811.31427,9985.580877,85748.12108,48998.95664
39,21955.40761,103272.9263,2534.64981,12002.55094,138688.9555,6000.822506,30098.20463,31802.57937,26358.20255,5368.643401,111933.8187,5040.214664,20994.66118,8750.043041,14855.57231,3249.469179,3665.332075,8224.503764,4038.212151,37093.5516,13911.43177,5290.805315,56330.23117,29193.94737
40,59094.59262,8421.740554,4456.667646,4993.774616,12778.2933,16541.77484,22496.28061,17959.50186,5117.264791,15049.10214,8089.794278,4684.835444,7081.5421,3968.828793,6161.758568,3709.227615,5989.196032,4677.283349,3649.081543,4296.108265,2556.926654,37586.21801,6710.799371,11568.28665
41,102698.4247,59252.65515,142557.7711,153062.9667,41174.2625,140954.8758,137504.7757,140121.3594,97685.17014,123221.5964,50324.03646,113560.8352,104997.8739,114038.348,150923.8299,140525.6617,133645.0937,116579.7649,148226.823,98646.56291,115576.3159,121299.2734,83912.6387,114369.1702
42,67031.72167,74829.80766,30002.96662,53686.73466,97140.76904,46094.24672,72951.05817,74002.58402,25875.19275,30130.68005,83120.51472,5722.135098,21477.60437,10734.84668,56065.917,27113.14639,22811.02318,11289.56038,38523.91459,36008.4979,20171.3941,44964.15453,48402.29299,43397.85927
43,3683.455991,122976.6281,3139.478855,1677.310988,158386.8685,2446.320599,6762.367345,7839.88401,40706.58309,4129.759012,131604.9618,10438.08917,33614.50917,19184.94704,2733.738841,3129.32037,4878.731958,15992.1189,2665.413308,49896.68619,23177.33567,4122.091205,73047.0009,31575.37396
44,22058.66095,157296.3079,56629.38829,31957.30089,185542.5003,40559.56275,13649.14682,12113.08321,99562.34629,58129.11088,162468.2104,86157.27009,96329.6727,90993.51401,29121.53686,59562.53279,65039.04992,87778.61296,47374.88951,103282.4843,87088.70643,43125.06941,118481.3583,76273.92678
45,7731.006616,167305.891,36601.35942,12890.88003,203154.5568,21893.01737,6969.879526,8363.643888,87303.84542,37279.04512,176250.6902,60898.50917,80131.28499,67763.79994,12205.80369,38409.95958,43187.17219,64460.69815,28299.90059,95156.75547,68968.41041,24869.69074,117007.4268,63787.09683
46,31037.25401,7956.755325,10362.85544,24707.78732,13624.08263,18129.31733,38098.65401,39458.31008,4655.354138,10498.66859,7898.904023,4212.011826,6750.46252,4236.259323,26441.12023,9767.104709,8277.672559,5491.913027,14744.65114,5708.523931,5080.420781,16383.81814,6894.96183,13931.16795
47,2281.369631,155751.2312,6293.826013,1617.677663,190849.7482,1575.876385,2906.485126,3678.205829,73628.31346,10326.35639,164254.557,42777.72063,65695.95966,52260.15821,1946.011017,10071.66827,15834.90376,47136.7828,2588.103424,79256.1805,50037.10093,1491.57167,103423.9158,47203.64015
48,11385.37074,117583.2848,7773.929924,9378.587533,152825.8231,9380.706062,6739.634769,5603.841897,37182.38553,8564.947269,126134.3466,9467.503889,30510.53212,16896.75804,8538.810364,6879.800124,7687.525889,14469.86842,8560.568369,47017.19439,21873.74977,11185.08264,68822.96021,32367.96576
49,3779.559855,172288.0768,16744.88309,1612.231682,207341.8641,2116.49535,6006.21215,7320.495297,90236.44776,22023.21827,180770.8421,59414.81549,82306.90602,68937.75173,2502.928401,20834.86258,28517.73753,63709.83139,8704.964976,95689.4588,66392.92098,3392.77853,119904.5652,57849.99339
50,5160.441567,8187.097139,2651.486558,6432.933861,12991.9039,2016.783967,8688.915345,10997.94445,4857.632976,4064.643587,7754.503979,3989.98308,7735.636987,4728.652419,6808.995809,2990.438066,3554.105991,5604.973268,2653.586657,5463.680484,4291.743328,9025.03898,6984.301669,5984.148873
51,10862.53659,115289.9867,2527.967348,3038.191887,150299.8533,1808.485401,16416.10434,17819.92126,34593.8189,4915.239595,123706.3688,5844.160727,27646.47417,13081.09942,5628.11108,2791.340648,3865.593827,11255.90744,2281.675504,44470.1868,18986.83419,2480.835221,66611.75178,29835.75847
52,32812.64406,81845.31728,3325.197552,20932.21195,117401.5896,11551.12331,40919.50541,42728.02614,13443.46881,7224.006075,90705.62971,4136.998997,12384.53437,4958.31554,23686.02116,4522.056019,4276.639069,5621.85445,6906.223451,25140.82399,6530.576384,9739.011608,39098.90929,26516.98627
53,3786.264989,182277.5665,26827.5772,2331.871813,217329.5597,8480.262883,6500.465132,7761.723904,100262.2897,30593.08753,190759.3162,69488.49462,92338.15482,78987.12329,4158.005106,30633.26273,38230.93669,73768.94775,17086.87804,105714.8871,76438.41786,10280.06462,129910.7446,65388.9523
54,36344.61259,109975.7823,7440.500197,25319.31577,135086.975,15020.99234,44877.6085,46328.31138,58898.44604,14187.08682,114650.533,41220.19318,55303.70379,49157.64603,27727.51566,12707.10017,16315.57284,43945.77521,8645.562228,56962.4068,42664.02184,12344.1108,74158.2192,45620.95616
55,26891.70794,22122.34583,2362.712272,16177.37996,29387.14486,8260.730857,35055.7301,36683.71387,5031.028392,5796.310047,15168.20553,3667.872728,7742.498805,4583.470261,18812.24196,3220.113852,3459.575961,4898.516173,4882.262405,4608.217,2810.247497,7494.411479,9366.516171,12107.95452
56,51596.28386,49904.47489,10257.93034,40602.45567,78904.285,27603.90134,62614.59545,64467.5356,4847.414029,11405.69755,56371.49272,3703.022333,7809.071885,4405.473858,43260.60654,9774.463566,7995.079289,4918.803545,19453.32558,9305.219801,3174.696881,24246.92788,19739.26578,26798.34884
57,166506.9986,443051.1241,269324.2662,226213.1445,473866.059,235268.5056,201107.9641,201174.0723,352494.1216,260479.477,441194.795,317948.6373,349542.3849,330710.9179,223677.497,275188.7998,282796.4866,322791.3456,254604.1896,361598.3973,326233.9126,204194.7944,388514.3209,26798
58,97238.98174,66441.06557,53736.20141,83086.5166,89870.10822,73772.90213,104457.0009,105819.4997,23630.91696,52641.0651,77308.53607,14006.97257,18262.58708,9921.905804,85630.69602,49902.57738,42982.84433,15236.25774,64364.30043,36065.95609,25019.42687,72008.18159,43528.24447,56736.20629
59,32187.80928,127358.4393,70183.75622,46882.12538,137936.3601,55179.65383,24890.62871,23410.78243,106224.6326,69636.28807,127065.015,94556.04794,102388.1622,98037.32999,43489.10884,71797.83765,76603.48743,94726.33926,62308.6476,97801.89562,93645.54793,57013.00694,109640.4068,79259.27431
61,7787.880418,138381.2691,2834.708291,1918.112229,173430.2787,1413.709913,13923.46866,15333.76679,56749.02887,4611.026344,146857.6903,26571.1919,49326.58576,35740.49962,4501.081753,3895.036502,8001.669998,31035.64894,2193.80836,63309.09703,34938.57018,1318.200245,86962.05752,39610.19076
62,2342.851482,188895.2621,33508.40132,5291.343309,223953.1286,14749.21517,1539.229908,1635.250048,106873.231,36364.82858,197379.3802,76105.0348,98949.32466,85599.46983,6137.321872,37392.73288,44823.72597,80384.58741,23071.03254,112331.79,83057.0593,17395.83212,136525.3266,70187.18955
63,3010.411813,164363.5464,10207.55722,1768.051033,199420.3087,1575.330786,4562.82601,5667.593468,82356.50184,15626.10938,172847.2346,51606.47383,74434.19928,61091.1618,2411.724632,14965.44372,21825.09393,55890.63948,4252.274627,87830.40058,58574.42919,1439.414414,112009.2571,52510.26017
64,12988.6,128547.4844,2649.426946,4954.428503,163538.3114,1972.796824,22007.32005,23893.85279,47035.2319,4257.359094,137002.4393,16642.69062,39974.94036,26012.83284,8336.62996,2812.640719,5498.471912,21914.22777,2730.289979,54818.44168,27645.94898,1363.651547,78269.20351,36298.57483
65,133171.3083,13485.66718,90632.29712,123637.0178,17781.52615,111402.2711,144481.9232,146416.3365,21931.66069,87804.37741,8789.315936,45742.74879,27577.55796,36507.73779,126175.3312,86323.94664,78352.60155,42951.17742,102992.9395,28966.55751,41589.56068,107401.0569,17962.76953,71394.68204
66,112933.5629,25756.73876,70102.64604,102490.5695,36767.7883,90928.4458,122933.7427,124712.5871,13316.58975,67397.22756,21412.94792,27039.41024,16363.49347,18570.89888,104953.4603,65718.35988,58028.96624,24829.34748,82345.26254,20052.27734,27236.10363,87565.45335,17588.21325,58219.30839
67,8005.097589,108132.0808,2652.274062,2004.140839,143646.4344,1510.903275,14740.43186,16441.20172,29940.23733,3845.898614,117264.1385,4744.016532,23752.34377,10097.67765,4675.173434,2873.944244,3820.63249,9178.173007,2311.257684,40313.35543,16009.05783,1279.416751,60942.89672,27312.20803
68,138573.0397,15364.53922,88804.28382,118154.0242,21712.76506,109426.8216,140024.3836,141261.3528,33552.27782,92902.93144,16598.21606,51052.79714,32018.57245,38127.81533,120781.1786,84685.21258,78626.58809,44297.90047,99371.20067,30122.8159,43927.00949,111394.0944,22640.34488,72757.39849
69,183270.9898,21847.42355,142542.2568,173260.5941,13370.13126,162061.1593,193499.5703,195314.9989,65947.89568,139994.74,16994.1473,97581.74456,73974.57076,87741.8662,175737.7426,138494.1118,130588.5968,94032.18073,154051.3441,62522.0939,90796.02696,158702.2217,47749.99779,113916.3654
70,302540.5019,106012.817,264844.2963,295753.258,67374.28321,283595.1194,315465.2301,317720.3821,186744.2272,261457.483,91125.08272,219772.6165,195748.5565,210439.0406,298361.4044,260899.675,252734.5691,216412.0137,276503.1261,181518.0805,212979.4294,278814.6261,155657.7916,113916
71,53040.84532,8495.297395,23167.13455,44582.63561,13544.48225,35804.08645,61571.84178,63271.42252,6018.445801,22800.07941,8113.579681,6045.740364,8441.729755,5118.445188,46790.96394,21419.75108,18110.77902,7480.366611,30288.04866,8078.38934,8410.191648,33788.76729,8633.124518,23609.39775
72,1101005.235,923447.3329,1078718.58,1111159.264,884491.04,1090344.15,1123760.435,1128960.346,1000868.313,1072677.209,906244.7567,1033368.449,1013340.119,1029149.006,1113628.806,1075559.996,1065246.245,1034656.212,1091209.855,1001577.846,1031811.698,1078356.557,974422.666,23609
73,10567.24434,154946.7232,41028.16345,20351.12546,190234.2107,29438.05626,4167.586492,3854.90012,75572.82457,38407.32864,163976.2488,47532.21159,68767.33583,55360.71552,17821.38602,39174.92555,41784.92486,52285.77875,35796.8136,84639.16551,59364.92151,32275.81155,106485.8278,59731.92305
74,44973.5879,81519.54201,9059.707683,34579.26375,113402.5116,23747.98571,54113.36027,56057.04234,22863.53867,10816.47731,89255.23726,13215.33233,20020.28965,15508.53861,37039.88646,9438.29187,9086.15651,13621.16833,16581.1445,28721.81035,13736.90486,20794.51459,42752.45438,33952.3803
75,2233.599165,178243.2138,23176.63933,1923.788906,213298.5197,6166.517243,2707.092087,3232.07571,96220.06652,27349.1216,186726.2044,65444.55308,88299.03912,74941.52435,2830.635598,26992.47768,34520.88353,69729.50012,14181.32983,101689.7095,72420.63468,7659.362587,125881.8715,61994.27652
76,13191.77023,154060.2318,5685.077719,4176.041843,189119.6515,1979.73821,22883.53546,24719.89626,72097.60276,9936.238043,162545.4972,41418.60258,64193.23853,50841.38332,8160.038122,9216.172119,14782.93299,45731.95587,2894.940384,77689.30406,48536.35996,1411.855638,101795.573,49002.94077
77,126237.5397,8102.983242,84529.50503,116238.8745,13447.17155,104129.4704,137438.9391,139507.5358,20474.5166,82554.42183,8385.379419,42198.06333,25332.09862,33100.16956,118892.6732,80608.07081,73108.56053,39368.9846,96105.27617,27037.09226,38663.91682,100906.7877,17160.25923,66675.14304
78,30076.99476,99810.84597,9349.187781,19562.27487,112821.9418,8756.900816,39159.16,40897.39726,68388.24543,17250.27654,101596.8101,45848.40396,62120.03979,53315.66191,22012.12639,14345.9104,20080.44961,48513.84666,7117.457089,59130.21511,48728.57069,6123.421802,76501.11397,43978.5762
79,6550.586837,139357.4121,3732.802815,1463.436686,174336.5665,1713.234633,13406.81634,15076.43144,58204.57313,5501.067991,147811.6853,28518.33343,50864.14973,37551.72721,3991.947017,4886.295686,9284.82984,32831.42759,2683.800752,64613.62105,36487.71951,1979.231158,88100.65917,40389.05895
80,26313.89776,111591.2308,3032.775426,16148.88227,146408.6174,5895.240292,35615.49769,37379.59481,33151.11997,6119.034105,119978.6976,6921.165698,26984.66021,14029.48411,18659.26395,3293.082946,4398.523701,11943.00051,4893.1014,42809.19186,18563.06312,4002.759372,63938.94968,33133.51455
81,3319.272042,192230.5699,36835.13223,8692.547362,227286.0439,18065.61,1717.030705,1756.959789,110215.6368,39464.21788,200713.5655,79451.45126,102292.644,88944.9705,8429.110943,40738.41806,48167.14064,83730.15393,26201.33174,115690.7022,86376.94871,20827.58451,139937.8312,73090.64668
82,3883.725508,102334.4103,2793.399185,1858.635024,136713.9329,1634.24605,4631.436998,5703.346202,28093.92679,3912.299965,110927.6726,5732.690179,22905.12888,11070.28031,2359.592391,2969.518293,4044.496181,9750.96667,2428.482578,37730.32593,15270.32547,1480.787281,57109.10637,25014.72748
83,5481.655804,157418.482,7044.227825,1728.93873,192921.25,1597.306035,10716.72679,12368.84452,75860.72879,11608.7851,166542.7691,45213.06609,68080.48145,54655.18547,3365.540827,11339.13964,17276.53348,49455.99262,2648.133819,81478.27397,52303.48407,1456.745556,105623.569,49399.38525
84,12341.13375,114448.7907,2644.466223,4322.809642,149190.6495,1993.195662,20665.92291,22219.8877,35736.75524,4362.737526,123220.1757,7351.301804,29110.05687,15126.60288,7629.353172,2880.88109,4161.354789,12742.97387,2649.56349,44883.97567,19838.02152,1527.462117,66954.9231,30695.78239
85,10927.59789,138965.2284,2912.924649,2795.760528,174431.2425,1703.834473,19727.22215,21434.3309,57991.0035,4678.597296,148084.6671,28029.44986,50894.39634,37528.98213,6608.026563,3702.406472,8179.707634,32287.11385,2544.4327,64148.0971,35619.86115,1502.098581,87963.16524,40985.22378
86,12755.24654,107983.7866,3858.198356,4551.927244,142723.1671,3884.090243,22470.6127,24119.19463,30967.47244,4706.754337,116766.7766,5190.656883,24851.62303,11234.03097,8978.825587,3894.70012,4503.090747,9946.515833,4345.2339,40636.55473,16889.38184,3036.793777,61525.23249,29122.6029
87,2266.848736,151453.8188,4605.37858,1916.483951,186832.7288,1795.625683,1878.566381,1748.957554,70754.68704,7915.321928,160527.4135,40937.59892,63249.74975,50371.34027,2168.0727,7710.979732,13488.66482,44864.43293,2329.32596,75878.45707,46851.07489,1524.335391,99833.09664,45256.65044
